id;data;qtd
248;2015-02-03;9987069
249;2015-02-04;9509781
250;2015-02-05;10386252
251;2015-02-06;11861846
252;2015-02-07;2211038
253;2015-02-08;1170951
254;2015-02-09;13093442
255;2015-02-10;12460802
256;2015-02-11;10234057
257;2015-02-12;9990738
258;2015-02-13;10926457
259;2015-02-14;1755058
260;2015-02-15;818099
261;2015-02-16;2074214
262;2015-02-17;1252060
263;2015-02-18;12224645
264;2015-02-19;10567708
265;2015-02-20;12190021
266;2015-02-21;2055937
267;2015-02-22;1059582
268;2015-02-23;11896532
269;2015-02-24;9491016
270;2015-02-25;9914712
271;2015-02-26;9263478
272;2015-02-27;10750716
273;2015-02-28;2083463
274;2015-03-01;1219507
275;2015-03-02;13496806
276;2015-03-03;10728087
277;2015-03-04;10175513
278;2015-03-05;11145206
279;2015-03-06;12821146
280;2015-03-07;2371970
281;2015-03-08;1231735
282;2015-03-09;13159288
283;2015-03-10;12856956
284;2015-03-11;10416266
285;2015-03-12;9912015
286;2015-03-13;10431491
287;2015-03-14;2043659
288;2015-03-15;1146812
289;2015-03-16;13011711
290;2015-03-17;9672036
291;2015-03-18;9386007
292;2015-03-19;9101630
293;2015-03-20;11695012
294;2015-03-21;2028694
295;2015-03-22;892463
296;2015-03-23;11451076
297;2015-03-24;9504327
298;2015-03-25;9883615
299;2015-03-26;9148896
300;2015-03-27;9273064
301;2015-03-28;1995077
302;2015-03-29;1098216
303;2015-03-30;11384285
304;2015-03-31;10736560
305;2015-04-01;11304192
306;2015-04-02;10565008
307;2015-04-03;1369426
308;2015-04-04;1851867
309;2015-04-05;1126340
310;2015-04-06;15183674
311;2015-04-07;12872305
312;2015-04-08;11597601
313;2015-04-09;10875412
314;2015-04-10;12995879
315;2015-04-11;2201078
316;2015-04-12;1180120
317;2015-04-13;12941124
318;2015-04-14;10774463
319;2015-04-15;11749124
320;2015-04-16;9954002
321;2015-04-17;10646720
322;2015-04-18;2068608
323;2015-04-19;1111087
324;2015-04-20;12650148
325;2015-04-21;1757005
326;2015-04-22;11386818
327;2015-04-23;9917456
328;2015-04-24;10292830
329;2015-04-25;2113498
330;2015-04-26;1147101
331;2015-04-27;12366165
332;2015-04-28;9991140
333;2015-04-29;10042308
334;2015-04-30;12730952
335;2015-05-01;1728438
336;2015-05-02;1974262
337;2015-05-03;1213400
338;2015-05-04;14907691
339;2015-05-05;12832701
340;2015-05-06;11711919
341;2015-05-07;12610132
342;2015-05-08;12563804
343;2015-05-09;2464166
344;2015-05-10;1255296
345;2015-05-11;15892486
346;2015-05-12;11574286
347;2015-05-13;10345993
348;2015-05-14;10148364
349;2015-05-15;12043268
350;2015-05-16;2112230
351;2015-05-17;1137148
352;2015-05-18;12588906
353;2015-05-19;10568786
354;2015-05-20;12271501
355;2015-05-21;9852263
356;2015-05-22;10009692
357;2015-05-23;2026427
358;2015-05-24;1124630
359;2015-05-25;12267898
360;2015-05-26;9980183
361;2015-05-27;9782174
362;2015-05-28;9730109
363;2015-05-29;11274328
364;2015-05-30;2243045
365;2015-05-31;1248130
366;2015-06-01;13700939
367;2015-06-02;11342368
368;2015-06-03;11815152
369;2015-06-04;1806708
370;2015-06-05;12802171
371;2015-06-06;2376772
372;2015-06-07;1335793
373;2015-06-08;15240169
374;2015-06-09;12116185
375;2015-06-10;13421308
376;2015-06-11;11117147
377;2015-06-12;11014988
378;2015-06-13;2167960
379;2015-06-14;1203177
380;2015-06-15;13605826
381;2015-06-16;10670839
382;2015-06-17;10327238
383;2015-06-18;9742683
384;2015-06-19;11187304
385;2015-06-20;2211471
386;2015-06-21;1188853
387;2015-06-22;13796944
388;2015-06-23;10361247
389;2015-06-24;9219542
390;2015-06-25;10438446
391;2015-06-26;10451465
392;2015-06-27;2089835
393;2015-06-28;1147513
394;2015-06-29;12362944
395;2015-06-30;12344882
396;2015-07-01;12164308
397;2015-07-02;11049241
398;2015-07-03;11943429
399;2015-07-04;2533562
400;2015-07-05;1353394
401;2015-07-06;15676689
402;2015-07-07;13439922
403;2015-07-08;11839450
404;2015-07-09;10079206
405;2015-07-10;13639781
406;2015-07-11;2367571
407;2015-07-12;1268029
408;2015-07-13;14051105
409;2015-07-14;11260436
410;2015-07-15;12472394
411;2015-07-16;10490969
412;2015-07-17;10700834
413;2015-07-18;2215428
414;2015-07-19;1226574
415;2015-07-20;15270100
416;2015-07-21;10999729
417;2015-07-22;10375469
418;2015-07-23;9889371
419;2015-07-24;10823483
420;2015-07-25;2091479
421;2015-07-26;1132541
422;2015-07-27;13723251
423;2015-07-28;9959948
424;2015-07-29;7216095
425;2015-07-30;10687624
426;2015-07-31;11130805
427;2015-08-01;2503785
428;2015-08-02;1359112
429;2015-08-03;14981571
